prNumber,Util,NLP,APM,Network,DB,Interpreter,Error Handling,Logging,Lang,Data Structure,DevOps,i18n,Setup,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,Big Data,Event Handling,App,GIS,prTitle,prBody,prIssue,issueNumber,issueTitle,issueBody,prComments,issueTitleLink,issueBodyLink,issue_Comments,isPR,isTrain,commitMessage,prCodeReviewComments,Multi Thread,Multimedia,CG,OS
491,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,add close all/others/ in database tab menu,see #314,,314,add close all/others/ in database tab menu,see #314,|| changelog is missing otherwise :+1:,add close all/others/ in database tab menu/file menu,similar to ides so i can close all open databases at once and continue working on a new or only one database,|| :+1: :sunglasses:  || continue discussion in pr #491,1.0,0.0,remove impossible todo,|| nice fixme any idea what this could mean here? || nope i forgot what it meant :smile:  || maybe it is even fixed by calling this method and i added the fixme because we must make sure that this is called every time we remove something i dont know || what about this todo? || can be removed as this doesnt work with our current impl,0,0,0,0
677,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,make bibtex parser more robust against missing newlines,as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line)  i.e.   % encoding: myencoding @article{} . actually  as the tests reveal it was not a problem with the actual parser but within the file opening logic.  i don t view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improved.  also fix a bug that prevented the import of bibtex entries having only a key as its content.,,669,make bibtex parser more robust against missing newlines,as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line) ie `% encoding: myencoding @article{}`actually as the tests reveal it was not a problem with the actual parser but within the file opening logic i dont view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improvedalso fix a bug that prevented the import of bibtex entries having only a key as its content,|| :+1: (except my minor comment) || corrected for some reason the code style was not imported correctly in intellij || hm i just use the default intellij code style :) || @tobiasdiez: what do you think should be done to fix the above issues completely? || @lenhard in my opinion jabref should add new lines after the encoding and preamble im working on a solution right now (including a bit of refactoring to make testing easier) || @tobiasdiez ok good to hear! ill concentrate on other issues then,jabref 31/32 writes bib file in a format that it will not read,if the @preamble field is present jabref 31/32 omits the newline between that line and the preceding encoding line when saving the file the resulting file is not readable by jabref sample attached problem seems to have been introduced at v31[testtxt](https://githubcom/jabref/jabref/files/89065/testtxt),|| related #621 || @tobiasdiez is this fixed? || @stefan-kolb it will be fixed with #718  || too late in the evening should have seen that myself :smile: :+1:,1.0,0.0,minor code reformatting,|| please always use curly braces as this makes the semantics explicit,0,0,0,0
734,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, add an optional tab that shows fields that are not displayed inside t…,…he predefined tabs #454,,454, add an optional tab that shows fields that are not displayed inside t…,…he predefined tabs #454,,entry editor: tab for remaining fields,at the moment each bibtexentry has required and optional fields the remaining fields can only be seen in the source tab of the entry editor we should add a tab to the entry editor which shows all the remaining fields and provide the ability to change them this is a good task to start developing for jabref,,1.0,0.0,resolve conflicts,,0,0,0,0
915,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,add button in preference dialog to reset preferences,implements #455 and/or  -  ? -   -  ? - only ui change -  ?,,455,add button in preference dialog to reset preferences,implements #455 and/or   change in changelogmd described?-  ? ( )-  ? - only ui change-  ?,|| nice looks good but i would add a note that resetting the perferences requires a restart (see change the language or the remote settings)  || good point an info message is now shown || looks good to me,reset preference or tool for clear jabref registry,i noticed that when i use different versions of jabref some times they load different files this means that different versions read perhaps different registry keys or the jabref preference are saved in different registry locationson the same machine the 3x version preference is different to 2x version perhaps ive tested too many versions ?is there an option to reset jabref preference ?or perhaps it would be better a tool which deletes all previous jabref registries,|| you can reset the preferences by starting jabref with `java -jar jabref-211jar --prdef all -n` || we dont really need two issues in different repositories for the very same thing do we? is enough,1.0,0.0,add button in preference dialog to reset preferencesimplements #455 and/or [kopper47](https://githubcom/koppor/jabref/issues/47),,0,0,0,0
925,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,add tests for metadata parsing,this solves #707 and prepares the way to refactor the metadata class.  i added a few methods to the metadata class to make testing more convenient. many calls to getdata() in fact can be replaced by these new methods. i think this is something for a new pr.  one question: to write the tests in a nice way i had to overwrite a few equals methods. in particular for the lowercasechanger. should i also override equals for all other formatters?,,707,add tests for metadata parsing,this solves #707 and prepares the way to refactor the metadata classi added a few methods to the metadata class to make testing more convenient many calls to getdata() in fact can be replaced by these new methods i think this is something for a new prone question: to write the tests in a nice way i had to overwrite a few equals methods in particular for the lowercasechanger should i also override equals for all other formatters?,|| :+1:  || when is the equals required (except for simplifying this test)? seems like one can add them later if requiredthe pr looks good! || no as far as i can see equals is never used for the formatters (and also no getkey()equals which could be replaced with an internal equals),add tests checking parsing of jabrefs metadata (groups etc),we should add tests to `bibtexparsertest` to make sure that we do not break the meta data format,|| seems like this issue has already been fixed 8 months ago high time for closing,1.0,0.0,add tests for metadata parsingthis solves #707,,0,0,0,0
937,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,preview panel is now updated when an entry is cut/deleted,936. when an entry is cut/deleted the preview panel will be hidden due to the fact that no entry is selected anymore. -  ? -   -  ? -  ?,,936,preview panel is now updated when an entry is cut/deleted,936when an entry is cut/deleted the preview panel will be hidden due to the fact that no entry is selected anymore-  change in changelogmd described?-  ? ( )-  ?-  ?,|| looks good :+1: || :+1:  || :+1:  || does the panel show up again when selecting another entry after deleting one? if so :+1:  || yes it does || we really should consider to implement an event system || :+1: for the event system (maybe use the stuff that comes with google guava,preview panel is not updated when an entry is cut/deleted,when an entry is cut or deleted the preview panel is not updatedtested with the current master at 7aa371c931ea51e7c092632e3e3f817c4861f66b![notupdated](https://cloudentcom/assets/15333371/13703378/f48015de-e795-11e5-94f3-e130f76353b8gif),|| nice video :smile: for reproducing the issue!,1.0,0.0,936,,0,0,0,0
1014,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,improved exception handling in tests cases,never catch an exception removed unnecessary exceptions throw specific exceptions  never only exception ref #1012  -   -  ? -  ?,,1012,improved exception handling in tests cases,never catch an exceptionremoved unnecessary exceptionsthrow specific exceptions never only exceptionref #1012 -  ? ( )-  ?-  ?,|| good work! :+1: || @siedlerchr btw you should assign your commit email with your github account see  || @oscargus fixed@stefan-kolb i just added my git mail address to my github account as secondary mail address || was done by eclipse will change this back,dont catch exceptions in unit test,some unit tests catch exceptions and then call a method called fail()that has the nasty disadvantage that the stacktrace and the real exception is hidden,|| i just added a corresponding point to the wiki  || i am just going through the tests to check em,1.0,0.0,improved exception handling in tests caesnever catch an exceptionremosed unnecessary exceptionsthrow speficic exceptions never only exception,|| assign directly || indentation,0,0,0,0
1041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,write database type in lower case into the bib file,this finally 963. a quick fix has been introduced in 661eea007e555  but that does not cover the lower case writing of the type.      @comment{jabref-meta: database_type:bibtex }      finally gets      @comment{jabref-meta: databasetype:bibtex }     -   -> this has been introduced in the development versions after the last release  thus no entry required -   -> tests have been adapted to match this new implementation,,963,write database type in lower case into the bib file,this finally 963 a quick fix has been introduced in 661eea007e555 but that does not cover the lower case writing of the type```@comment{jabref-meta: database_type:bibtex}```finally gets```@comment{jabref-meta: databasetype:bibtex}```-  change in changelogmd described -> this has been introduced in the development versions after the last release thus no entry required-   -> tests have been adapted to match this new implementation,|| is the parsing case insensitive? is that tested? || @oscargus the value is parsed case-insensitive,nicer serialization of database bibtex mode,if i switch to bibtex mode jabref writes```@comment{jabref-meta: database_type:bibtex}```biblatex mode is```@comment{jabref-meta: database_type:biblatex}```proposal: no use of uppercase letters```@comment{jabref-meta: databasetype:bibtex}@comment{jabref-meta: databasetype:biblatex}```reason: consistency with other metadata see  know that we both have camelcase and usage of dashes and underscores the jabcon addition by jörg (`saveorderconfig`) used the camelcase and we should not introduce other serialization kinds should we?,|| you keep `bibtex` and `biblatex` (instead of `bibtex` and `biblatex`) because of  :innocent:,1.0,0.0,fix integrity check tests,,0,0,0,0
1056,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixes npe in export to external db,fixes npe in export to external db add db type to export succesful message reformatting #1055  no changelog because i think it was new introduced by the redesign of the entry sorting (passing null),,1055,fixes npe in export to external db,fixes npe in export to external dbadd db type to export succesful messagereformatting#1055no changelog because i think it was new introduced by the redesign of the entry sorting (passing null),|| export now all entries by default,npe in getsortedentries when exporting to external db,jabref 33 dev master commit: ed989b069b768390240fd4a2946b9f4b13142cdcreproducablesteps to reproduce:1 open export to external sql database2 choose mysql (doesnt matter)3 fill in the conn details   4  select target db/create new one4 enter name 5 click oknpe is shown:```18:53:07518 [spin-0] info  netsfjabrefguibasepanel - could not export to sql databasejavalangnullpointerexception    at javautilobjectsrequirenonnull(unknown source) ~[?:180_74]    at netsfjabrefexporterbibdatabasewritergetsortedentries(bibdatabasewriterjava:85) ~[bin/:?]    at netsfjabrefsqlexporterdbexporterperformexport(dbexporterjava:86) ~[bin/:?]    at netsfjabrefsqlexporterdbexporterexportdatabasetodbms(dbexporterjava:430) ~[bin/:?]    at netsfjabrefguibasepanel$1run(basepaneljava:544) [bin/:?]    at sunreflectnativemethodaccessorimplinvoke0(native method) ~[?:180_74]```,|| i am looking into that seems like i found the problem || yes someone still passes `null` to the entries argument which was the old version to indicate that all entries should be sorted  || @tobiasdiez  yep there is missing a getselectedentries() as parameter || hmm i thought that i (ie eclipse) had found all performexport calls but obviously not,1.0,0.0,fixes npe in export to external dbexport all entries by defaultadd db type to export succesful messagereformatting#1055,|| should really only the selected entries be exported or all (getdatabase()getentries)? previously `null` indicated the latter  || okay then i think i take better all entries to be consistent,0,0,0,0
1168,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163 by removing the strange functionality which enabled sorting…,we have some very strange logic in jabref which allows to handle years using only the two last numbers  so we can detect that 68 means 1968. this causes a lot of issues. i do not think that jabref should still support such strange logic  and just use the value which is in the year field.   hence  i removed it.   this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class.   refs #1163,,1163,1163 by removing the strange functionality which enabled sorting…,we have some very strange logic in jabref which allows to handle years using only the two last numbers so we can detect that 68 means 1968 this causes a lot of issues i do not think that jabref should still support such strange logic and just use the value which is in the year field hence i removed it this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class refs #1163,|| lgtm :+1: || lgtm :+1:  || should we readd yearutil as a cleanup to convert two digit years to four digit years? || if we add it we should make use of the java 8 functionality instead of the own ugly parsing: this one:http://stackoverflowcom/questions/29490893/parsing-string-to-local-date-doesnt-use-desired-century,year sorting doesnt work,clicking on the year column doesnt affect the sorting of the table,,1.0,0.0,1163 by removing the strange functionality which enabled sorting of two-digit years as well,,0,0,0,0
