,Network,DB,Interpreter,Logging,Data Structure,i18n,Setup,Microservices,Test,IO,UI,App
105,0.4,0.08,0.22333333333333336,0.91,0.0,0.0025,0.0,0.02,0.17,0.93,0.77,0.1
28,0.25476190476190474,0.0,0.5468412698412698,0.557,0.02,0.08,0.12605555555555556,0.16266666666666665,0.23833333333333337,0.659,0.8396190476190476,0.015
3,0.3486666666666666,0.0,0.06419047619047619,0.3488095238095238,0.0,0.17000000000000004,0.02,0.0,0.3546825396825397,0.5313333333333332,0.5695714285714286,0.04
95,0.02,0.0,0.26671428571428574,0.5105714285714285,0.0,0.0,0.005,0.01,0.0,0.6855952380952383,0.7585634920634919,0.0
5,0.1495238095238095,0.0,0.34523809523809523,0.7184444444444447,0.0,0.053,0.0,0.03333333333333333,0.2065,0.8546666666666667,0.7933333333333333,0.0
93,0.09333333333333332,0.013333333333333332,0.96,1.0,0.0,0.0,0.02,0.0,0.0,1.0,0.9933333333333333,0.0
8,0.9033333333333333,0.0,0.9,0.98,0.0,0.016666666666666666,0.8466666666666667,0.02,0.12,0.96,1.0,0.05
91,0.04,0.0,1.0,0.98,0.0,0.02,0.0,0.0,0.0,1.0,1.0,0.0
72,0.364,0.02,0.08888888888888889,0.5933333333333333,0.0,0.0025,0.023333333333333334,0.0,0.5683333333333334,0.8946666666666665,0.515,0.4
58,0.3082142857142857,0.0,0.18784126984126984,0.20850000000000002,0.03,0.006666666666666666,0.211484126984127,0.06366666666666668,0.7483333333333334,0.31366666666666665,0.9366666666666668,0.6133333333333333
102,0.08,0.02,0.1725,0.34,0.04,0.006666666666666666,0.0,0.02,0.013333333333333332,0.32,0.34,0.0
6,0.20333333333333337,0.0,0.32657142857142857,0.3413333333333334,0.0,0.0,0.17,0.0,0.0,0.938,1.0,0.0
43,0.3517619047619047,0.02,0.273,0.4988095238095238,0.01,0.115,0.02,0.02,0.5453333333333333,0.878,0.6150000000000001,0.34
83,0.9966666666666666,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.04,1.0,1.0,0.0
111,0.6533333333333334,0.0,0.7066666666666666,0.9100000000000001,0.02,0.31357142857142856,0.14666666666666667,0.29333333333333333,0.09,0.9933333333333333,0.99,0.04
63,1.0,0.0,0.06,1.0,0.06933333333333333,0.0,0.12,0.015,0.03666666666666667,0.98,0.98,0.0
68,0.55,0.0,0.215,0.8153333333333334,0.02,0.016666666666666666,0.0,0.045,0.12,0.82,0.7933333333333334,0.0
10,0.11533333333333334,0.04,0.5107380952380952,0.7101111111111112,0.0,0.22766666666666666,0.0,0.14,0.17133333333333334,1.0,1.0,0.1
113,0.5,0.02,0.5816666666666667,0.72,0.04,0.36166666666666664,0.02,0.255,0.4833333333333333,0.7966666666666665,0.87,0.38
87,0.20333333333333337,0.0,0.32657142857142857,0.3413333333333334,0.0,0.0,0.17,0.0,0.0,0.938,1.0,0.0
49,0.23049084249084245,0.0,0.5317063492063492,0.6869206349206352,0.0,0.2813809523809524,0.0,0.0,0.23257142857142862,1.0,1.0,0.0
76,0.32,0.0,0.185,0.85,0.07333333333333333,0.09,0.0,0.045,0.15333333333333332,0.84,0.51,0.06
106,0.5586666666666666,0.07166666666666666,0.32,0.8733333333333333,0.0,0.14,0.02,0.01,0.15333333333333335,0.86,0.92,0.06
85,0.02,0.0,0.26671428571428574,0.5105714285714285,0.0,0.0,0.005,0.01,0.0,0.6855952380952383,0.7585634920634919,0.0
57,1.0,0.0,0.05142857142857142,0.99,0.0,0.0,0.02,0.0,0.0,1.0,0.02,0.05
6,0.25296703296703293,0.0,0.3393333333333333,0.5021428571428571,0.0,0.24571428571428577,0.0,0.06,0.5790238095238095,0.9346666666666665,0.6816666666666668,0.36
68,1.0,0.0,0.02,1.0,0.37266666666666665,0.0,0.0,0.0,0.24666666666666665,0.98,0.98,0.0
45,0.0,0.02333333333333333,0.12,0.9520000000000001,0.0,0.0,0.04666666666666666,0.0,0.02,0.905,0.96,0.0
47,0.05333333333333333,0.05,0.4325,0.8194761904761906,0.0,0.06,0.0,0.04,0.1,0.97,0.9163333333333334,0.0
37,0.3232142857142857,0.0,0.30546031746031743,0.3671666666666667,0.0,0.006666666666666666,0.30148412698412697,0.08866666666666667,0.4683333333333334,0.35900000000000004,0.97,0.2733333333333334
92,0.94,0.0,0.028888888888888888,0.9,0.016,0.0,0.06,0.015,0.026666666666666665,0.9666666666666666,0.96,0.0
25,0.359,0.0,0.2068888888888889,0.705,0.042,0.03583333333333333,0.0,0.0,0.19299999999999998,1.0,0.5533333333333332,0.095
54,0.35166666666666674,0.06,0.41222222222222216,0.675,0.0,0.12666666666666668,0.0,0.12,0.17666666666666667,0.78,0.6733333333333335,0.07
17,0.97,0.0,0.795,0.94,0.03,0.035,0.82,0.0,0.065,0.9814285714285714,0.855,0.0
5,0.02,0.6466666666666667,1.0,1.0,0.0,0.0,0.04,0.02,0.0,1.0,1.0,0.0
58,0.9130952380952381,0.0,0.9572857142857143,0.9575,0.0,0.06,0.85,0.063,0.04,0.99,1.0,0.0
74,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9933333333333333,1.0,0.0
54,1.0,0.02,1.0,1.0,0.0,0.0,0.985,0.0,0.0,0.9971428571428572,0.9942857142857143,0.0
36,0.30066666666666664,0.0,0.22133333333333333,0.7694761904761905,0.0,0.06716666666666665,0.0,0.0,0.18133333333333332,0.96,0.7966666666666667,0.04
67,0.9,0.0,0.03,0.96,0.6286666666666667,0.02,0.08,0.06,0.05,0.95,0.26,0.1
41,0.03333333333333333,0.013333333333333332,0.98,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9733333333333333,0.0
79,0.3064908424908424,0.0,0.4761904761904762,0.6874761904761906,0.0,0.2517142857142857,0.0,0.0,0.2228571428571429,0.88,0.9566666666666667,0.0
66,0.96,0.0,0.8745238095238095,0.94,0.01,0.075,0.82,0.0,0.02,0.99,0.995,0.0
31,0.83,0.0,0.9533333333333333,0.98,0.0,0.006666666666666666,0.74,0.095,0.0,0.94,1.0,0.0
51,0.075,0.0,0.92,0.98,0.03,0.03666666666666667,0.04,0.08166666666666668,0.036000000000000004,1.0,1.0,0.04666666666666666
51,0.4116336996336996,0.01,0.3562063492063492,0.671,0.02,0.21771428571428572,0.0,0.05999999999999999,0.23552380952380958,0.96,0.8,0.0
