prNumber,Logging,Data Structure,Logic,Setup,Util,Microservices,Test,App,Search,i18n,Parser,APM,UI,Utlity,Multi Thread,OS,Interpreter,prTitle,prBody,prIssue,issueNumber,issueTitle,issueBody,prComments,issueTitleLink,issueBodyLink,issue_Comments,isPR,isTrain,commitMessage,prCodeReviewComments,NLP,Network,DB,Error Handling,Lang,DevOps,ML,IO,Security,Cloud,Big Data,Event Handling,GIS,Multimedia,CG
510,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,fixes for zone resize,   resizing zones was not working in some cases.     closes #257 #409 #427      the logic used by  move()  works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edge. it was also causing the zone to drift right/bottom when resized to it s minimum width/height. i split the methods to simplify the logic:  -  move()  is used only to move the zone.  -  sizemove()  (fell free to suggest a better name) is used when dragging the left/top edge.  -  size()  is used when dragging the right/bottom edge.   also set  c_minzonewidth  to 64 and  c_minzoneheight  to 72 to reflect the actual minimum dimensions.    manual test.,,257,fixes for zone resize,    resizing zones was not working in some cases     closes #257 #409 #427     the logic used  move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions    manual test,,resize zone can only increases the size of the zone,    ```windows build number: 10017134885powertoys version: 011 : fancyzones```#  create new custom layout add new zone drag zone to right edge of monitor resize zone using left edge of zone#  resizing the zone should be able to increase and decrease the size of the zone#  resizing the zone can increase the size of the zone but is not able to decrease the size of the zonenote: resizing using the right edge of the zone works as expected# screenshots<!-- if applicable add screenshots to help explain your problem -->,thanks for submitting this bug report  we will take a look || this issue also occurs if a zone is positioned at the bottom of the screen trying to shrink the zone from the top does not function as expected  ||,1.0,0.0,fixes for zone resize,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,fixes for zone resize,   resizing zones was not working in some cases.     closes #257 #409 #427      the logic used by  move()  works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edge. it was also causing the zone to drift right/bottom when resized to it s minimum width/height. i split the methods to simplify the logic:  -  move()  is used only to move the zone.  -  sizemove()  (fell free to suggest a better name) is used when dragging the left/top edge.  -  size()  is used when dragging the right/bottom edge.   also set  c_minzonewidth  to 64 and  c_minzoneheight  to 72 to reflect the actual minimum dimensions.    manual test.,,427,fixes for zone resize,    resizing zones was not working in some cases     closes #257 #409 #427     the logic used  move()` works only for dragging the entire zone but it fails when dragging a top/left edge if the right/bottom edge is on the working area edgeit was also causing the zone to drift right/bottom when resized to its minimum width/heighti split the methods to simplify the logic: - `move()` is used only to move the zone - `sizemove()` (fell free to suggest a better name) is used when dragging the left/top edge - `size()` is used when dragging the right/bottom edge also set `c_minzonewidth` to 64 and `c_minzoneheight` to 72 to reflect the actual minimum dimensions    manual test,,fancyzones resizing in certain directions breaks when attached to certain desktop areas,    ```windows build number: microsoft windows [version 10018362356]powertoys version: 0100 : fancyzones```#  drag a new zone either on the bottom right of your screen or above the taskbar and try to drag the zone either on the left or on top you can make the zone bigger but you cant decrease the size i didnt test it with my taskbar on any other position (like taskbar on the left or at the top) but im assuming that it might break it as well im not sure if it is related to the taskbar or the screen either way it seems like it is assuming that it cant resize it because its the edge of the screen#  making the zone smaller as expected should work just fine#  im not able to make the zone smaller only bigger# screenshots if applicable add screenshots to help explain your problem -->,hi @zergo0 thanks for reporting the issuethis seems the same issue reported here  you provided more information on how to reproduce it (following your example i managed to reproduce it as well)we can keep both issues open for nowthank you! || adding reference  || this is now   in master and the fix will be available in the upcoming release ||,1.0,0.0,fixes for zone resize,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,fancyzoneseditor: open a tab with the selected layout on startup,   determine if we re using custom layout currently and open a corresponding editor tab on startup.     592    launched editor in debug&release mode,,592,fancyzoneseditor: open a tab with the selected layout on startup,    determine if were using custom layout currently and open a corresponding editor tab on startup      592   launched editor in debug&release mode,very nice fix! ||,fancyzones - highlight current zone setup when invoking zone editor,#  currently when the zone editor is opened for fancy zones it opens to the templates tab with the last known settingsi (as would many other users) have saved my most used layouts as custom layouts so i dont need to toggle the settings all the timeif a custom layout is currently used zone editor should open the custom tab rather than the templates tab,,1.0,0.0,adhere to a coding standard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,code analysis / style cop adjustments for .net,   enabled code analysis for the editor. this does not fix 2 issues for 923 for          910 . if not  go over [here](          ran application and editor worked as expected,,910,code analysis / style cop adjustments for net,    enabled code analysis for the editor this does not fix 2 issues for  923 for          910*      (          ran application and editor worked as expected,,enabling static analysis for net code,static analysis is a great way for us to catch issues early and during developmentthis should also include fancyzoneeditor-  a min i think we should do what the terminal team has-  https://githubcom/microsoft/terminal/blob/master/src/staticanalysisruleset,may want to punt the native code fixes to a different issue   ||,1.0,0.0,#817,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,code analysis / style cop adjustments for .net,   enabled code analysis for the editor. this does not fix 2 issues for 923 for          910 . if not  go over [here](          ran application and editor worked as expected,,923,code analysis / style cop adjustments for net,    enabled code analysis for the editor this does not fix 2 issues for  923 for          910*      (          ran application and editor worked as expected,,fancyzone math question,while doing stylecop fixes i came across this line  i bet it isnt the only spot where well have math order of operation questionsin grideditorxamlcs namely arrangegridrectsthere is this line`zonehorizontalsnappoints[pointsindex++]  _rowinfo[walk]end + spacing / 2 - top`the math here due to lack of parenthesis could be incorrect  what is the correct math?,this is sa1407  currently 2 in fancy zones || both issues leverage same math  im assuming the math is this`_rowinfo[walk]end + (spacing / 2) - top` || @themrjukes any chance you can clarify the math here?  im assuming the math is this`_rowinfo[walk]end + (spacing / 2) - top` || verified my assumption was correct || fix available in 0150  ||,1.0,0.0,#817,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,fix for #923,           923 . if not  go over [here](       validated with owner regarding proper math and other spots in code match pattern.  example:  canvas.settop(resizer  _rowinfo[row].end + (spacing / 2) - 24),,923,fix for #923,             923*      (       validated with owner regarding proper math and other spots in code match pattern  example:`canvassettop(resizer _rowinfo[row]end + (spacing / 2) - 24)`,,fancyzone math question,while doing stylecop fixes i came across this line  i bet it isnt the only spot where well have math order of operation questionsin grideditorxamlcs namely arrangegridrectsthere is this line`zonehorizontalsnappoints[pointsindex++]  _rowinfo[walk]end + spacing / 2 - top`the math here due to lack of parenthesis could be incorrect  what is the correct math?,this is sa1407  currently 2 in fancy zones || both issues leverage same math  im assuming the math is this`_rowinfo[walk]end + (spacing / 2) - top` || @themrjukes any chance you can clarify the math here?  im assuming the math is this`_rowinfo[walk]end + (spacing / 2) - top` || verified my assumption was correct || fix available in 0150  ||,1.0,0.0,fix for #923,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,implement common library interfaces for preview pane,    adding implementation for interfaces required by preview handler. implementation designed in a way that it can be easily extended by different preview pane handler(eg: markdown and svg).         914 and #963  . if not  go over [here](       current implementation is using managed code(.net) for implementing the preview pane extensions. which is possible for preview pane because preview handlers always run out of process.  more details about preview handlers:  writing your own preview handler:      *  test library locally.,,914,implement common library interfaces for preview pane,    adding implementation for interfaces required by preview handler implementation designed in a way that it can be easily extended by different preview pane handler(eg: markdown and svg)          914 and #963 *      (      current implementation is using managed code(net) for implementing the preview pane extensions which is possible for preview pane because preview handlers always run out of process more details about preview handlers:  your own preview handler:  describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->   *   test library locally,> i was thinking if it would be better to put controls and initializers into separate folder? and maybe rename `previewhandlercs` to `previewhandlerbasecs`moved the files in different folder and yes `previewhandlerbasecs` makes more sense ||,file explorer md/mark down (pre)viewer,#  mark down files should be rendered in windows# proposed technical implementation details (optional)- file explorer   - render mark down file in the preview pane  - render the top of the mark down in extra large icons (not sure if this makes sense)- powertoys  - mark down render window  - mark down edit (for quick edits)  - mark down lint ?  - edit in <your favorite md editor> button,edit / lint i would defer to tools like notepad / vs code  i really dont see a need for a pt therewhat about different flavors of md that gets hard  a bunch of sites have custom renders || for preview pane json comes to mind and other dev file types || the fix is now available in 016  ||,1.0,0.0,uncommented the documenttext to help bug repro,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,implement common library interfaces for preview pane,    adding implementation for interfaces required by preview handler. implementation designed in a way that it can be easily extended by different preview pane handler(eg: markdown and svg).         914 and #963  . if not  go over [here](       current implementation is using managed code(.net) for implementing the preview pane extensions. which is possible for preview pane because preview handlers always run out of process.  more details about preview handlers:  writing your own preview handler:      *  test library locally.,,963,implement common library interfaces for preview pane,    adding implementation for interfaces required by preview handler implementation designed in a way that it can be easily extended by different preview pane handler(eg: markdown and svg)          914 and #963 *      (      current implementation is using managed code(net) for implementing the preview pane extensions which is possible for preview pane because preview handlers always run out of process more details about preview handlers:  your own preview handler:  describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->   *   test library locally,> i was thinking if it would be better to put controls and initializers into separate folder? and maybe rename `previewhandlercs` to `previewhandlerbasecs`moved the files in different folder and yes `previewhandlerbasecs` makes more sense ||,have svgs render in preview pane like jpegs do,currently svgs do not render but jpegs do  would be great if we had them render in explorer and the preview pane (https://user-images entcom/1462282/71024072-fda8f080-20b8-11ea-985f-601e57c7739bpng),that should not be a powertoy imo but built into windows along with opening svgs in the photos app || for it being in photos not a bad idea  but wouldnt you want to use the tools inside edge / chrome to edit?also one of the things to remember about powertoys of the past is they got integrated back into windows :) || @crutkas and @ryanbodrug-microsoft  should we create another issue for the svg rendering in explorer since im currently working only on preview pane || > @crutkas and @ryanbodrug-microsoft should we create another issue for the svg rendering in explorer since im currently working only on preview paneyes please do if there isnt one in github already  we have this accounted for in ado but its moved to future work  || yeah right now just getting preview pane going is awesome enough || @crutkas  create a new issue #1341 for svg in explorer editing the description of this issue to `have svgs render in preview pane like jpegs do` || the fix is now available in 016  ||,1.0,0.0,uncommented the documenttext to help bug repro,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,markdown preview pane,   added a [markdig]( based preview pane handler.     1.      914      steps to build this project 1. open the solution in vs 2019 as admin. 2. build  markdownpreviewhandler  project. dll would be located at  <root>\src\modules\markdownpreviewhandler\common\bin\debug  3. open developer command prompt in visual studio. goto  tools > command line > developer command prompt . 4. change directory to  c:\windows\microsoft.net\framework64\<latestversion>  5. register dll using below command   gacutil -i <path to dll>   regasm.exe <path to dll> \codebase,,914,markdown preview pane,    added a [markdig]( based preview pane handler   1  please review the items on the pr checklist before submitting-->     914 *       steps to build this project1 open the solution in vs 2019 as admin2 build `markdownpreviewhandler` project dll would be located at `<root>\src\modules\markdownpreviewhandler\common\bin\debug`3 open developer command prompt in visual studio goto `tools > command line > developer command prompt`4 change directory to `c:\windows\microsoftnet\framework64\<latestversion>`5 register dll using below command `gacutil -i <path to dll>``regasmexe <path to dll> \codebase`,are the snk binary files supposed to be pushed as well? || > are the snk binary files supposed to be pushed as well?snk files should be ignored via the gitignore file || > are the snk binary files supposed to be pushed as well?> > snk files should be ignored via the gitignore file>  it looks like that line is commented out so snk files arent being ignored || > > are the snk binary files supposed to be pushed as well?> > snk files should be ignored via the gitignore file> >  > @crutkas it looks like that line is commented out so snk files arent being ignoredwhat is that snk being used for  after looking at immo’s response looks like these are ok to check in || > > are the snk binary files supposed to be pushed as well?> > snk files should be ignored via the gitignore file> >   when shell extension is installed the assembly needs to be signed  ||,file explorer md/mark down (pre)viewer,#  mark down files should be rendered in windows# proposed technical implementation details (optional)- file explorer   - render mark down file in the preview pane  - render the top of the mark down in extra large icons (not sure if this makes sense)- powertoys  - mark down render window  - mark down edit (for quick edits)  - mark down lint ?  - edit in <your favorite md editor> button,edit / lint i would defer to tools like notepad / vs code  i really dont see a need for a pt therewhat about different flavors of md that gets hard  a bunch of sites have custom renders || for preview pane json comes to mind and other dev file types || the fix is now available in 016  ||,1.0,0.0,merge branch dev/previewpane into user/somil55/markdown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1129,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,add svg preview handler,   extended the common library to create a preview handler for svg.         963       added a preview pane handler for svg files. implementation is [leveraging the  webbrowser control  ]( render the svg.       run the  svgpreviewhandler  locally. steps to run the  1. open the solution in vs 2019 as admin. 2. build  svgpreviewhandler  project. dll would be located at  <root>\src\modules\svgpreviewhandler\common\bin\debug  3. open developer command prompt in visual studio. goto  tools > command line > developer command prompt . 4. change directory to  c:\windows\microsoft.net\framework64\<latestversion>  5. register dll using below command   gacutil -i <path to dll>   regasm.exe <path to dll> \codebase    outstanding work *  add unit tests for the svg preview handler.,,963,add svg preview handler,    extended the common library to create a preview handler for svg         963 *        added a preview pane handler for svg files implementation is [leveraging the `webbrowser control` ]( render the svg      run the `svgpreviewhandler` locallysteps to run the 1 open the solution in vs 2019 as admin2 build `svgpreviewhandler` project dll would be located at `<root>\src\modules\svgpreviewhandler\common\bin\debug`3 open developer command prompt in visual studio goto `tools > command line > developer command prompt`4 change directory to `c:\windows\microsoftnet\framework64\<latestversion>`5 register dll using below command `gacutil -i <path to dll>``regasmexe <path to dll> \codebase`  outstanding work*   add unit tests for the svg preview handler,,have svgs render in preview pane like jpegs do,currently svgs do not render but jpegs do  would be great if we had them render in explorer and the preview pane (https://user-images entcom/1462282/71024072-fda8f080-20b8-11ea-985f-601e57c7739bpng),that should not be a powertoy imo but built into windows along with opening svgs in the photos app || for it being in photos not a bad idea  but wouldnt you want to use the tools inside edge / chrome to edit?also one of the things to remember about powertoys of the past is they got integrated back into windows :) || @crutkas and @ryanbodrug-microsoft  should we create another issue for the svg rendering in explorer since im currently working only on preview pane || > @crutkas and @ryanbodrug-microsoft should we create another issue for the svg rendering in explorer since im currently working only on preview paneyes please do if there isnt one in github already  we have this accounted for in ado but its moved to future work  || yeah right now just getting preview pane going is awesome enough || @crutkas  create a new issue #1341 for svg in explorer editing the description of this issue to `have svgs render in preview pane like jpegs do` || the fix is now available in 016  ||,1.0,0.0,resolve merge conflicts,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
