,APM,Interpreter,Logging,Data Structure,i18n,Setup,Logic,Microservices,Test,Search,UI,Parser,App
21,0.33866666666666667,0.0,0.19666666666666666,0.0,0.0,0.2884285714285714,0.0,0.1,0.0,0.9329090909090909,0.6165830346475508,0.0,0.93
31,0.898,0.0,0.0,0.0,0.0,0.9072222222222223,0.0,0.02,0.0,0.9743999999999999,0.87,0.0,0.98
11,0.256,0.03,0.0,0.02,0.0,0.36133333333333334,0.04,0.20866666666666667,0.0,0.5643939393939393,0.6727777777777777,0.0,0.8066666666666665
344,0.17833333333333334,0.0,0.0,0.0,0.0,0.7555555555555555,0.0,0.14666666666666667,0.0,0.5700000000000001,0.6627311827956989,0.0,0.8467608695652175
185,0.45595238095238094,0.0,0.0,0.01,0.0,0.6603333333333333,0.0,0.08,0.0,0.94,0.7166666666666667,0.013333333333333332,0.98
113,0.6933333333333335,0.0,0.0,0.0,0.0,0.8655555555555555,0.0,0.77,0.0,0.92,0.98,0.0,1.0
211,0.7333333333333334,0.13333333333333333,0.0,0.0,0.0,0.47,0.04333333333333333,0.52,0.0,0.8163333333333332,0.7698039215686275,0.03333333333333333,1.0
3,0.5433333333333333,0.01,0.0,0.0,0.0,0.8192156862745098,0.0,0.675,0.0,0.9166666666666665,0.8903431851724072,0.05166666666666666,1.0
338,0.12466666666666666,0.0,0.0,0.0,0.0,0.6932831465919701,0.0,0.595,0.0,0.795,0.8941414141414141,0.03,0.9641666666666667
125,0.07833333333333332,0.0,0.0,0.0,0.0,0.22241666666666668,0.0,0.17,0.0,0.511060606060606,0.6991414141414141,0.1,0.8520703933747413
81,0.0,0.0,0.0,0.0,0.2603333333333333,0.97,0.0,0.0,0.0,0.030909090909090907,0.0,0.0,0.02
29,0.2783333333333334,0.0,0.0,0.01,0.04,0.5905490196078432,0.0,0.2733333333333333,0.0,0.5533333333333332,0.6333333333333333,0.22166666666666665,0.8195833333333333
234,0.12,0.0,0.0,0.0,0.0,0.11,0.0,0.17,0.0,0.26,0.9,0.02,0.19
33,0.23199999999999998,0.0,0.055,0.0,0.0,0.1930952380952381,0.0,0.09,0.0,0.9693939393939394,0.21806451612903224,0.0,0.9408333333333333
198,0.5583333333333333,0.0,0.0,0.0,0.0,0.6713333333333332,0.6132380952380952,0.695,0.0,0.975909090909091,0.59,0.445,0.9982608695652173
32,0.03,0.0,0.0,0.01,0.0,0.04666666666666666,0.893,0.0,0.0,0.04,0.0,0.0,1.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.044000000000000004,0.08,1.0
299,0.145,0.0,0.0,0.0,0.0,0.45477124183006545,0.0,0.23,0.0,0.5280363636363635,0.8062121212121213,0.06666666666666667,0.7620833333333334
